"","Nombre","Edad","Altura","Peso","Nacionalidad","Equipo","Posición","Partidos","Minutos por partido","Goles","Asistencias","Targetas","Puntos","Puntos local","Puntos visitante","Media total","Media local","Media visitante","Valor de Comunio","Valor de mercado"
"216","Inui","32","1.70","66","Japón","eibar","centrocampistas","25",68,"1","0","0","82","38",44,"3.3","2.9","3.7","850 000","2"
"218","Pere Milla","28","1.79","70","España","elche","centrocampistas","25",59,"3","1","4","81","39",42,"3.4","3.9","3.0","1 770 000","965K €"
"220","Sergi Guardiola","29","1.85","77","España","valladolid","delanteros","24",67,"1","2","4","81","42",39,"3.4","3.2","3.5","1 430 000","4"
"221","Barragán","33","1.86","76","España","elche","defensas","22",83,"0","3","6","81","47",34,"3.7","4.7","2.8","1 110 000","825K €"
"222","Choco Lozano","27","1.83","79","Honduras","cadiz","delanteros","22",50,"3","1","4","80","32",48,"3.6","2.9","4.4","1 360 000","3"
"223","Sergi Enrich","31","1.81","77","España","eibar","delanteros","21",47,"2","0","1","80","49",31,"3.8","4.1","3.4","1 310 000","2"
"224","Masip","32","1.80","69","España","valladolid","porteros","20",90,"0","0","3","80","28",52,"4.0","2.8","5.2","1 270 000","3"
"225","Oier","34","1.78","72","España","osasuna","centrocampistas","27",66,"0","2","7","80","36",44,"3.1","2.6","3.7","1 240 000","630K €"
"227","William Carvalho","29","1.87","83","Portugal","betis","centrocampistas","23",48,"2","0","6","79","49",30,"3.6","4.9","2.5","1 310 000","14"
"229","Bardhi","25","1.72","67","Macedonia","levante","centrocampistas","19",64,"1","2","2","78","40",38,"4.1","4.4","3.8","2 460 000","16"
"230","Kubo","19","1.74","67","Japón","getafe","centrocampistas","26",33,"0","1","3","78","44",34,"3.3","3.7","2.8","2 080 000","16"
"231","Kondogbia","28","1.88","76","República","atletico","centrocampistas","23",38,"0","0","5","78","42",36,"3.9","3.8","4.0","1 780 000","15"
"232","Antonio Puertas","29","1.83","72","España","granada","centrocampistas","28",59,"1","4","4","78","43",35,"2.9","3.1","2.7","1 350 000","5"
"233","Radoja","28","1.86","77","Serbia","levante","centrocampistas","21",53,"0","2","1","78","33",45,"3.7","3.3","4.1","1 220 000","3"
"234","Salvi","30","1.75","64","España","cadiz","centrocampistas","25",71,"2","0","4","78","42",36,"3.1","3.5","2.8","930 000","3"
"235","Mikel Vesga","27","1.91","84","España","athletic","centrocampistas","22",59,"0","1","7","77","47",30,"3.5","4.3","2.7","1 320 000","2"
"236","Guido Carrillo","29","1.91","83","Argentina","elche","delanteros","18",48,"3","1","3","76","37",39,"4.8","6.2","3.9","2 580 000","3"
"237","Damián Suárez","32","1.72","61","Uruguay","getafe","defensas","23",80,"1","0","12","76","61",15,"3.3","4.7","1.5","1 060 000","2"
