"","Nombre","Edad","Altura","Peso","Nacionalidad","Equipo","Posición","Partidos","Minutos por partido","Goles","Asistencias","Targetas","Puntos","Puntos local","Puntos visitante","Media total","Media local","Media visitante","Valor de Comunio","Valor de mercado"
"397","Jason","26","1.79","65","España","valencia","centrocampistas","15",29,"0","0","4","31","14",17,"2.1","2.0","2.1","330 000","3"
"399","Rubén Yáñez","27","1.88","80","España","getafe","porteros","9",90,"0","0","2","30","19",11,"3.3","4.8","2.2","570 000","2"
"400","Mfulu","27","1.82","70","República","elche","centrocampistas","15",32,"0","0","2","30","14",16,"2.5","2.3","2.7","500 000","875K €"
"402","Etxeita","33","1.85","78","España","getafe","defensas","11",80,"0","0","3","30","20",10,"2.7","4.0","1.7","420 000","1"
"404","Capoue","32","1.87","80","Francia","villarreal","centrocampistas","9",81,"0","0","5","28","10",18,"3.1","3.3","3.0","1 790 000","2"
"405","Augusto Solari","29","1.76","66","Argentina","celta","centrocampistas","8",32,"0","2","1","28","13",15,"3.5","3.3","3.8","1 510 000","4"
"406","Íñigo Córdoba","24","1.78","74","España","alaves","centrocampistas","10",31,"0","0","0","28","10",18,"2.8","2.5","3.0","670 000","3"
"407","Funes Mori","30","1.86","78","Argentina","villarreal","defensas","6",61,"0","0","0","28","14",14,"4.7","4.7","4.7","570 000","2"
"409","Franco Vázquez","32","1.87","87","Argentina","sevilla","centrocampistas","10",7,"1","0","1","28","22",6,"4.0","4.4","3.0","480 000","5"
"410","Nino","40","1.69","68","España","elche","delanteros","12",19,"0","0","1","28","14",14,"2.5","2.8","2.3","470 000","110K €"
"411","Toño García","31","1.79","69","España","levante","defensas","9",54,"0","0","2","28","14",14,"3.1","2.8","3.5","420 000","840K €"
"412","Pedro Alcalá","32","1.96","90","España","cadiz","defensas","10",72,"0","0","2","28","12",16,"2.8","2.4","3.2","420 000","570K €"
"413","Facundo Ferreyra","30","1.85","83","Argentina","celta","delanteros","8",19,"1","0","3","27","12",15,"3.4","3.0","3.8","1 290 000","2"
"414","Lato","23","1.73","64","España","valencia","defensas","12",41,"1","0","2","27","6",21,"3.0","1.2","5.3","360 000","3"
"415","Junior Firpo","24","1.84","75","España","barcelona","defensas","6",40,"1","1","1","26","22",4,"5.2","7.3","2.0","680 000","10"
"416","Gastón Silva","27","1.83","75","Uruguay","huesca","defensas","8",51,"0","0","2","26","14",12,"3.3","4.7","2.4","480 000","1"
"419","Neto","31","1.90","84","Brasil","barcelona","porteros","6",90,"0","0","0","24","15",9,"4.0","5.0","3.0","330 000","9"
"421","Zaldua","28","1.76","70","España","real-sociedad","defensas","8",61,"0","0","2","22","8",14,"2.8","2.0","3.5","850 000","7"
"422","Adrián Marín","24","1.81","73","España","granada","defensas","10",26,"0","0","0","22","12",10,"2.8","3.0","2.5","400 000","955K €"
"423","Juan Carlos Real","30","1.75","72","España","huesca","centrocampistas","15",19,"0","1","0","21","10",11,"1.5","1.4","1.6","340 000","1"
"424","Illarramendi","31","1.79","76","España","real-sociedad","centrocampistas","5",66,"0","0","2","20","10",10,"4.0","5.0","3.3","2 220 000","7"
"425","Éder Militão","23","1.86","78","Brasil","real-madrid","defensas","6",82,"0","0","3","20","14",6,"3.3","2.8","6.0","1 690 000","31"
"428","Augusto Fernández","35","1.77","73","Argentina","cadiz","centrocampistas","9",26,"0","0","1","20","8",12,"2.2","2.0","2.4","420 000","320K €"
"430","Cillessen","31","1.85","83","Países","valencia","porteros","5",90,"0","0","0","19","17",2,"3.8","5.7","1.0","1 780 000","5"
"435","Mangala","30","1.88","84","Francia","valencia","defensas","5",63,"0","0","1","18","8",10,"3.6","2.7","5.0","320 000","3"
"437","Akapo","28","1.78","70","Guinea","cadiz","defensas","7",69,"0","0","2","17","8",9,"2.4","4.0","1.8","310 000","825K €"
"438","Cifuentes","30","1.74","65","España","elche","defensas","9",48,"0","0","1","16","8",8,"1.8","2.7","1.3","490 000","870K €"
"439","Odriozola","25","1.75","74","España","real-madrid","defensas","5",55,"0","0","0","16","10",6,"3.2","3.3","3.0","480 000","10"
"442","Helibelton Palacios","27","1.77","78","Colombia","elche","defensas","4",79,"0","0","0","14","4",10,"3.5","4.0","3.3","720 000","910K €"
"445","Christian Oliva","24","1.78","77","Uruguay","valencia","centrocampistas","5",26,"0","1","0","13","7",6,"3.3","7.0","2.0","890 000","3"
"448","Ibai Gómez","31","1.77","72","España","athletic","centrocampistas","5",33,"0","0","0","12","8",4,"2.4","2.7","2.0","470 000","1"
"449","Luismi","28","1.80","77","España","elche","defensas","8",18,"0","0","0","12","10",2,"2.4","2.5","2.0","380 000","485K €"
"450","Eugeni Valderrama","26","1.82","73","España","huesca","centrocampistas","3",38,"0","0","0","12","2",10,"4.0","2.0","5.0","310 000","1"
"451","Esquerdo","22","1.80","75","España","valencia","centrocampistas","4",58,"0","0","1","12","4",8,"4.0","4.0","4.0","280 000","330K €"
"453","Vaclík","32","1.88","85","República","sevilla","porteros","4",90,"0","0","0","11","4",7,"2.8","2.0","3.5","510 000","6"
"456","Martín Montoya","29","1.74","73","España","betis","defensas","5",51,"0","0","1","10","10",0,"2.0","3.3","0.0","320 000","3"
"457","Luisinho","35","1.75","62","Portugal","huesca","defensas","5",36,"0","0","1","10","4",6,"2.0","2.0","2.0","300 000","180K €"
"458","Guidetti","28","1.85","79","Suecia","alaves","delanteros","5",14,"0","0","0","10","2",8,"2.0","2.0","2.0","290 000","1"
"460","Quique González","30","1.75","67","España","eibar","delanteros","9",11,"0","0","0","10","8",2,"2.5","2.7","2.0","280 000","850K €"
"461","Doukouré","28","1.80","72","Costa","levante","centrocampistas","3",18,"0","0","0","10","4",6,"3.3","4.0","3.0","260 000","515K €"
"463","Juan Pérez","24","1.87","83","España","osasuna","porteros","1",90,"0","0","0","9","0",9,"9.0","0.0","9.0","410 000","425K €"
"464","Cutrone","23","1.83","75","Italia","valencia","delanteros","5",11,"0","0","0","8","0",8,"2.0","0.0","2.0","1 470 000","9"
"468","Alfonso González","21","1.72","60","España","celta","centrocampistas","2",16,"0","0","0","8","8",0,"4.0","4.0","0.0","250 000","165K €"
"471","Miguel Ángel Rubio","23","1.91","86","España","valladolid","defensas","2",67,"0","0","0","8","2",6,"4.0","2.0","6.0","200 000","140K €"
"472","Moussa Dembélé","24","1.83","74","Francia","atletico","delanteros","2",21,"0","0","0","6","4",2,"3.0","4.0","2.0","3 290 000","26"
"473","Piatti","32","1.63","63","Argentina","elche","centrocampistas","2",13,"0","0","0","6","0",6,"3.0","0.0","3.0","1 450 000","2"
"476","Yoel","32","1.85","78","España","eibar","porteros","3",70,"0","0","0","6","6",0,"2.0","2.0","0.0","260 000","835K €"
"482","Alberto Moreno","28","1.70","65","España","villarreal","defensas","1",6,"0","0","0","4","0",4,"4.0","0.0","4.0","750 000","3"
"484","Burgui","27","1.84","68","España","alaves","centrocampistas","1",20,"0","0","0","4","0",4,"4.0","0.0","4.0","280 000","825K €"
"490","Ezequiel Ávila","27","1.71","81","Argentina","osasuna","delanteros","1",13,"0","0","0","2","2",0,"2.0","2.0","0.0","5 330 000","10"
"491","Ferro","24","1.93","72","Portugal","valencia","defensas","2",45,"0","0","0","2","0",2,"2.0","0.0","2.0","680 000","5"
"499","Darío Poveda","24","1.88","75","España","getafe","delanteros","1",4,"0","0","0","2","2",0,"2.0","2.0","0.0","240 000","370K €"
"506","David Gil","27","1.83","80","España","cadiz","porteros","1",90,"0","0","0","2","2",0,"2.0","2.0","0.0","180 000","410K €"
